ID,county,population,area,geometry
06041,Marin,254407,520,"POLYGON ((-123.011533 38.003438, -122.960889 38.112962, -122.953629 38.17567, -122.987149 38.237538, -122.986319 38.273164, -123.003146477056 38.2957052387145, -122.911319 38.321209, -122.7399 38.207018, -122.545376 38.158733, -122.488499639259 38.1090944743082, -122.491283 38.108087, -122.499465 38.032165, -122.452995 37.996167, -122.488665 37.966714, -122.486375 37.921881, -122.448413 37.89341, -122.41847 37.852721, -122.483483 37.826728, -122.537285 37.830328, -122.60129 37.875126, -122.678474 37.906604, -122.70264 37.89382, -122.754606 37.935527, -122.797405 37.976657, -122.856573 38.016717, -122.939711 38.031908, -122.97439 37.992429, -123.011533 38.003438))"
06043,Mariposa,16919,1451,"POLYGON ((-120.391931 37.683559, -120.306312 37.665419, -120.345437 37.724787, -120.127226 37.781566, -120.079508 37.828808, -119.907013 37.757926, -119.809409 37.755025, -119.667203 37.801224, -119.646203 37.846823, -119.535699 37.904122, -119.474295 37.855623, -119.426792 37.866724, -119.308995 37.777986, -119.583585 37.560335, -119.58422 37.494696, -119.651172 37.461351, -119.651191 37.417832, -119.761809 37.417114, -120.052055 37.183108, -120.177636 37.261526, -120.38767 37.633364, -120.387613 37.633704, -120.391931 37.683559))"
06045,Mendocino,89108,3509,"POLYGON ((-124.02520517453 40.001299341669, -123.544458 40.001923, -123.544563 39.977015, -122.934013 39.978131, -122.909787 39.936385, -122.950077 39.907718, -122.937654 39.798156, -122.892676 39.708898, -122.885352 39.580108, -122.89031 39.529014, -123.063181 39.503539, -123.075114 39.407683, -123.019711 39.321785, -122.994839 39.235924, -123.077812 39.173791, -123.093013 39.071994, -123.028035 38.996593, -122.98664 38.997283, -122.948865 38.90022, -122.821592 38.85014, -123.080997 38.852438, -123.136253 38.809136, -123.368394 38.80664, -123.540922011634 38.7676562160393, -123.571987 38.798189, -123.638637 38.843865, -123.659846 38.872529, -123.71054 38.91323, -123.732892 38.954994, -123.69074 39.021293, -123.721505 39.125327, -123.765891 39.193657, -123.798991 39.271355, -123.825331 39.360814, -123.81469 39.446538, -123.766475 39.552803, -123.782322 39.621486, -123.792659 39.684122, -123.829545 39.723071, -123.851714 39.832041, -123.907664 39.863028, -123.954952 39.922373, -124.02520517453 40.001299341669))"
06047,Merced,291920,1929,"POLYGON ((-121.226804 37.134774, -120.963812 37.346144, -120.989811 37.395871, -120.81557 37.466963, -120.38767 37.633364, -120.177636 37.261526, -120.052055 37.183108, -120.106385 37.167153, -120.241224 37.158187, -120.476692 37.09639, -120.541696 37.044505, -120.590566 36.952641, -120.65595 36.952832, -120.918731 36.740381, -121.141523 36.836656, -121.234683 36.926894, -121.215406 36.961248, -121.245887 36.983036, -121.226804 37.134774))"
06049,Modoc,8500,3944,"POLYGON ((-121.457213 41.949945, -121.447539998048 41.9971900332726, -121.43961 41.99708, -121.251099 41.99757, -121.035195 41.993323, -120.879925710236 41.9934832599849, -120.692219 41.993677, -120.501069 41.993785, -120.181563 41.994588, -119.999168 41.99454, -119.999276 41.874891, -119.99828 41.618765, -119.999866 41.183974, -120.501404 41.18394, -121.331786 41.183886, -121.446495 41.183484, -121.448981 41.776392, -121.457213 41.949945))"
06051,Mono,13066,3044,"POLYGON ((-119.639205 38.32688, -119.542332 38.481221, -119.619066 38.603529, -119.585406144839 38.7131509006712, -119.330366469799 38.5355095158185, -119.279262 38.499914, -119.155815824409 38.4134036584505, -118.949673 38.26894, -118.500958 37.949019, -118.427995325157 37.8962242809098, -118.022181 37.602583, -117.833504044144 37.4649387662445, -118.775014 37.463052, -118.850474 37.475796, -118.91706 37.550336, -119.022363 37.585737, -119.124312 37.733944, -119.268979 37.73923, -119.20128 37.804329, -119.200283 37.885827, -119.308389 37.946824, -119.30459 38.023891, -119.345922 38.083113, -119.469456 38.128283, -119.576496 38.157661, -119.632671 38.198858, -119.604182 38.234961, -119.651509 38.286462, -119.639205 38.32688))"
06053,Monterey,430723,3322,"POLYGON ((-121.970427 36.582754, -121.923866 36.634559, -121.860604 36.611136, -121.814462 36.682858, -121.796826 36.777543, -121.791544 36.815186, -121.812732426762 36.8500494437455, -121.793835 36.879509, -121.757482 36.899981, -121.754116 36.902768, -121.655782 36.913109, -121.644001 36.893996, -121.597698 36.83735, -121.45134 36.724793, -121.468086 36.685518, -121.350092 36.648357, -121.318373 36.610026, -121.311788 36.502736, -121.244091 36.506911, -121.193465 36.445751, -121.040797 36.323969, -121.027362 36.26008, -120.920551 36.311012, -120.86508 36.292578, -120.761483 36.20358, -120.718426 36.196848, -120.717696 36.260012, -120.75834 36.308604, -120.678582 36.267319, -120.62691 36.203227, -120.667551 36.138057, -120.433053 35.968933, -120.315068 35.907186, -120.27576 35.905881, -120.213979 35.789276, -121.185056 35.794161, -121.347053956004 35.7951862038146, -121.406823 35.844623, -121.462264 35.885618, -121.4862 35.970348, -121.531876 36.014368, -121.574602 36.025156, -121.622009 36.099695, -121.680145 36.165818, -121.779851 36.227407, -121.826425 36.24186, -121.888491 36.30281, -121.903195 36.393603, -121.9416 36.485602, -121.970427 36.582754))"
06055,Napa,133216,754,"POLYGON ((-122.626772 38.67078, -122.464115 38.706134, -122.374235 38.811787, -122.395312 38.863994, -122.287597 38.839968, -122.248838 38.755797, -122.134387 38.604634, -122.104128 38.513362, -122.126401 38.429168, -122.064842 38.315912, -122.206068 38.315775, -122.19538 38.155017, -122.406786 38.155632, -122.349564 38.193972, -122.448117 38.379505, -122.529625 38.469593, -122.64661 38.599113, -122.626772 38.67078))"
06057,Nevada,102037,958,"POLYGON ((-121.27969 39.143288, -121.266132 39.272717, -121.127481 39.380237, -121.022085 39.391558, -120.992703 39.414392, -120.755729 39.452663, -120.654561 39.52692, -120.575594 39.522291, -120.505445 39.446117, -120.003028919657 39.4450457761605, -120.004795512304 39.3164750119585, -120.645795 39.315155, -120.69111 39.304134, -120.857909 39.206235, -120.986348 39.102234, -121.067546 39.005371, -121.137397 39.037858, -121.221787 39.011962, -121.279533 39.034618, -121.27969 39.143288))"
06059,Orange,3135755,948,"POLYGON ((-118.093029 33.786121, -118.059037 33.84538, -118.05904 33.846195, -118.05892 33.846196, -118.028782 33.873322, -117.976575 33.906406, -117.976498 33.94605, -117.91999 33.946081, -117.868369 33.945941, -117.783252 33.946261, -117.673019 33.871039, -117.674282 33.857956, -117.662117 33.857499, -117.533999 33.710355, -117.412987 33.659045, -117.457937 33.602189, -117.492697 33.557715, -117.509722 33.505019, -117.508614 33.469614, -117.57848 33.453927, -117.596188685737 33.3869649943199, -117.645582 33.440728, -117.715349 33.460556, -117.726486 33.483427, -117.739080197711 33.4933063986445, -117.814188 33.552224, -117.840289 33.573523, -117.927091 33.605521, -118.000593 33.654319, -118.088896 33.729817, -118.115076722882 33.743803322895, -118.093029 33.786121))"
